epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,1208.83,1.07465,0.63923,1.08966,0.90194,0.89362,0.92746,0.48348,1.48873,0.66159,1.37578,0.0014456,0.0014456,0.0014456
114,1217.89,1.01338,0.60534,1.09431,0.91539,0.88298,0.90856,0.51055,1.48722,0.65496,1.37604,0.00144065,0.00144065,0.00144065
115,1229.54,1.04854,0.61662,1.10802,0.92142,0.8732,0.91449,0.52643,1.50089,0.63504,1.35961,0.0014357,0.0014357,0.0014357
116,1240.69,1.00862,0.58739,1.07316,0.90837,0.87234,0.88891,0.50018,1.50178,0.63789,1.38179,0.00143075,0.00143075,0.00143075
117,1250.24,1.05108,0.60132,1.08765,0.91842,0.87234,0.9121,0.51405,1.49667,0.66164,1.35134,0.0014258,0.0014258,0.0014258
118,1261.73,1.07362,0.64511,1.09337,0.89491,0.8617,0.92577,0.52327,1.49103,0.67192,1.37505,0.00142085,0.00142085,0.00142085
119,1270.74,1.03275,0.59943,1.0693,0.97632,0.88298,0.94073,0.50721,1.53501,0.64942,1.39936,0.0014159,0.0014159,0.0014159
120,1282.3,1.05183,0.60493,1.09965,0.92882,0.89362,0.90872,0.48435,1.53873,0.6539,1.40952,0.00141095,0.00141095,0.00141095
121,1293.19,1.04499,0.62122,1.08347,0.93284,0.88657,0.92114,0.51883,1.47637,0.61677,1.38114,0.001406,0.001406,0.001406
122,1302.88,1.00406,0.55926,1.06117,0.97672,0.89271,0.93922,0.52463,1.51082,0.60794,1.38747,0.00140105,0.00140105,0.00140105
123,1314.53,1.07235,0.6195,1.08247,0.91908,0.87234,0.89768,0.4678,1.55222,0.65174,1.43901,0.0013961,0.0013961,0.0013961
124,1323.5,1.04466,0.60022,1.079,0.92756,0.89362,0.91561,0.50578,1.48235,0.61846,1.37823,0.00139115,0.00139115,0.00139115
125,1335.46,1.04723,0.60679,1.08557,0.94326,0.88423,0.91458,0.50763,1.45993,0.64185,1.41221,0.0013862,0.0013862,0.0013862
126,1346.44,1.05049,0.61459,1.08028,0.93365,0.89819,0.93006,0.49735,1.54134,0.61404,1.41714,0.00138125,0.00138125,0.00138125
127,1356.26,1.0451,0.59967,1.08729,0.9036,0.89752,0.926,0.53635,1.52145,0.61255,1.40809,0.0013763,0.0013763,0.0013763
128,1368.22,1.0137,0.60693,1.06127,0.93366,0.89834,0.93578,0.53611,1.48865,0.62675,1.37857,0.00137135,0.00137135,0.00137135
129,1377.4,1.03949,0.60523,1.09017,0.88057,0.86281,0.90708,0.509,1.49574,0.61678,1.3472,0.0013664,0.0013664,0.0013664
130,1389.33,1.02022,0.59314,1.05446,0.89862,0.94295,0.93791,0.5304,1.48512,0.64652,1.33916,0.00136145,0.00136145,0.00136145
131,1400.53,1.04866,0.591,1.07506,0.9192,0.88298,0.9342,0.54381,1.4625,0.64278,1.3456,0.0013565,0.0013565,0.0013565
132,1410.21,0.99273,0.56952,1.04659,0.91078,0.87234,0.92361,0.52413,1.47679,0.65705,1.33486,0.00135155,0.00135155,0.00135155
133,1422.3,1.00195,0.58951,1.04908,0.91557,0.90426,0.92822,0.53914,1.45323,0.65167,1.36293,0.0013466,0.0013466,0.0013466
134,1431.68,0.99687,0.58918,1.06981,0.89436,0.92553,0.92945,0.52047,1.49469,0.63342,1.3646,0.00134165,0.00134165,0.00134165
135,1443.13,1.00267,0.58392,1.05032,0.91385,0.92553,0.94322,0.5411,1.4534,0.62982,1.35828,0.0013367,0.0013367,0.0013367
136,1454.61,1.00395,0.57931,1.03993,0.93404,0.87234,0.90323,0.53443,1.48362,0.62679,1.37874,0.00133175,0.00133175,0.00133175
137,1464.05,1.00453,0.5883,1.03987,0.93154,0.91489,0.92511,0.50651,1.526,0.62949,1.36548,0.0013268,0.0013268,0.0013268
138,1476.32,1.01769,0.58576,1.07324,0.96625,0.91384,0.95185,0.51431,1.54241,0.6263,1.41118,0.00132185,0.00132185,0.00132185
139,1485.68,0.99186,0.58395,1.05132,0.95459,0.89464,0.95969,0.50608,1.55487,0.63635,1.41676,0.0013169,0.0013169,0.0013169
140,1497.09,1.00652,0.60277,1.07433,0.94187,0.90426,0.92973,0.53633,1.51,0.61053,1.40824,0.00131195,0.00131195,0.00131195
141,1507.9,1.00768,0.57718,1.05933,0.94333,0.89362,0.91969,0.53239,1.51821,0.62659,1.39879,0.001307,0.001307,0.001307
142,1517.61,0.99774,0.57104,1.04924,0.88884,0.85106,0.87164,0.52485,1.5293,0.64756,1.44957,0.00130205,0.00130205,0.00130205
143,1529.47,0.99289,0.57948,1.06325,0.89554,0.91202,0.93857,0.51443,1.50516,0.65169,1.40285,0.0012971,0.0012971,0.0012971
144,1538.92,0.9905,0.5746,1.04258,0.92066,0.86416,0.91743,0.52126,1.49166,0.65665,1.4177,0.00129215,0.00129215,0.00129215
